ID	symbol	chr	start	end	type
ENSG00000203301	AL590822.1	chr1	2120001	2160000	protein_coding
ENSG00000243558	RP11-181G12.5	chr1	2120001	2160000	retained_intron
ENSG00000234396	RP11-181G12.4	chr1	2120001	2160000	lincRNA
ENSG00000157933	SKI	chr1	2160001	2200000	protein_coding
ENSG00000116151	MORN1	chr1	2320001	2360000	protein_coding
ENSG00000238240	RP4-740C4.5	chr1	2280001	2320000	transcribed_processed_pseudogene
ENSG00000178642	AL513477.1	chr1	2280001	2320000	pseudogene
ENSG00000157916	RER1	chr1	2320001	2360000	protein_coding
ENSG00000157911	PEX10	chr1	2320001	2360000	protein_coding
ENSG00000149527	PLCH2	chr1	2360001	2400000	protein_coding
ENSG00000224387	RP3-395M20.2	chr1	2400001	2440000	antisense
ENSG00000229393	RP3-395M20.3	chr1	2400001	2440000	antisense
ENSG00000157881	PANK4	chr1	2440001	2480000	protein_coding
ENSG00000197921	HES5	chr1	2440001	2480000	protein_coding
ENSG00000238164	RP3-395M20.8	chr1	2480001	2520000	lincRNA
ENSG00000157873	TNFRSF14	chr1	2480001	2520000	protein_coding
ENSG00000225931	RP3-395M20.7	chr1	2480001	2520000	antisense
ENSG00000228037	RP3-395M20.9	chr1	2480001	2520000	antisense
ENSG00000157870	FAM213B	chr1	2480001	2520000	protein_coding
ENSG00000142606	MMEL1	chr1	2560001	2600000	protein_coding
ENSG00000237058	RP13-436F16.1	chr1	2560001	2600000	antisense
ENSG00000215912	TTC34	chr1	2680001	2720000	protein_coding
ENSG00000233234	RP11-740P5.2	chr1	2720001	2760000	lincRNA
ENSG00000231630	RP11-740P5.3	chr1	2720001	2760000	lincRNA
ENSG00000169717	ACTRT2	chr1	2920001	2960000	protein_coding
ENSG00000256761	AL008733.1	chr1	2960001	3000000	pseudogene
ENSG00000142611	PRDM16	chr1	2960001	3000000	protein_coding
ENSG00000226286	RP1-163G9.2	chr1	3040001	3080000	antisense
ENSG00000130762	ARHGEF16	chr1	3360001	3400000	protein_coding
ENSG00000162591	MEGF6	chr1	3520001	3560000	protein_coding
ENSG00000207776	MIR551A	chr1	3440001	3480000	miRNA
ENSG00000238260	RP11-46F15.2	chr1	3520001	3560000	antisense
ENSG00000158109	TPRG1L	chr1	3520001	3560000	protein_coding
ENSG00000116213	WRAP73	chr1	3560001	3600000	protein_coding
ENSG00000078900	TP73	chr1	3560001	3600000	protein_coding
ENSG00000227589	RP5-1092A11.5	chr1	3560001	3600000	antisense
ENSG00000235131	RP5-1092A11.2	chr1	3600001	3640000	antisense
ENSG00000227372	TP73-AS1	chr1	3640001	3680000	antisense
ENSG00000162592	CCDC27	chr1	3640001	3680000	protein_coding
ENSG00000130764	LRRC47	chr1	3680001	3720000	protein_coding
ENSG00000265326	Metazoa_SRP	chr1	3680001	3720000	misc_RNA
ENSG00000116198	CEP104	chr1	3760001	3800000	protein_coding
ENSG00000169598	DFFB	chr1	3760001	3800000	protein_coding
ENSG00000264428	AL691523.1	chr1	3800001	3840000	miRNA
ENSG00000198912	C1orf174	chr1	3800001	3840000	protein_coding
ENSG00000233304	RP13-614K11.1	chr1	4000001	4040000	lincRNA
ENSG00000226374	RP13-614K11.2	chr1	4000001	4040000	lincRNA
ENSG00000229280	RP11-374C13.1	chr1	4200001	4240000	processed_pseudogene
ENSG00000235054	RP5-1166F10.1	chr1	4440001	4480000	lincRNA
ENSG00000227169	RP1-37J18.1	chr1	4600001	4640000	lincRNA
ENSG00000232596	RP1-37J18.2	chr1	4600001	4640000	lincRNA
ENSG00000196581	AJAP1	chr1	4680001	4720000	protein_coding
ENSG00000231510	RP11-542C10.1	chr1	5120001	5160000	lincRNA
ENSG00000260972	RP1-58B11.1	chr1	5520001	5560000	lincRNA
ENSG00000264341	MIR4417	chr1	5600001	5640000	miRNA
ENSG00000236948	RP11-154H17.1	chr1	5720001	5760000	lincRNA
ENSG00000216045	AL356693.1	chr1	5840001	5880000	miRNA
ENSG00000264101	MIR4689	chr1	5920001	5960000	miRNA
ENSG00000131697	NPHP4	chr1	6040001	6080000	protein_coding
ENSG00000266687	AL356261.1	chr1	5920001	5960000	miRNA
ENSG00000069424	KCNAB2	chr1	6040001	6080000	protein_coding
ENSG00000116254	CHD5	chr1	6240001	6280000	protein_coding
ENSG00000116251	RPL22	chr1	6240001	6280000	protein_coding
ENSG00000226944	RP1-120G22.11	chr1	6240001	6280000	antisense
ENSG00000158286	RNF207	chr1	6240001	6280000	retained_intron
ENSG00000116237	ICMT	chr1	6280001	6320000	protein_coding
ENSG00000225077	LINC00337	chr1	6280001	6320000	antisense
ENSG00000173673	HES3	chr1	6280001	6320000	protein_coding
ENSG00000158292	GPR153	chr1	6320001	6360000	protein_coding
ENSG00000097021	ACOT7	chr1	6440001	6480000	protein_coding
ENSG00000069812	HES2	chr1	6480001	6520000	protein_coding
ENSG00000187017	ESPN	chr1	6480001	6520000	protein_coding
ENSG00000265392	MIR4252	chr1	6480001	6520000	miRNA
ENSG00000231868	RP1-202O8.2	chr1	6480001	6520000	antisense
ENSG00000215788	TNFRSF25	chr1	6520001	6560000	protein_coding
ENSG00000171680	PLEKHG5	chr1	6560001	6600000	protein_coding
ENSG00000162408	NOL9	chr1	6600001	6640000	protein_coding
ENSG00000263128	U6	chr1	6600001	6640000	snRNA
ENSG00000229519	RP11-58A11.2	chr1	6600001	6640000	processed_pseudogene
ENSG00000173662	TAS1R1	chr1	6600001	6640000	protein_coding
ENSG00000204859	ZBTB48	chr1	6640001	6680000	protein_coding
ENSG00000162413	KLHL21	chr1	6640001	6680000	protein_coding
ENSG00000116273	PHF13	chr1	6640001	6680000	protein_coding
ENSG00000041988	THAP3	chr1	6680001	6720000	protein_coding
ENSG00000007923	DNAJC11	chr1	6760001	6800000	protein_coding
ENSG00000228750	RP11-242F24.1	chr1	6760001	6800000	lincRNA
ENSG00000269874	snoU13	chr1	6800001	6840000	snoRNA
ENSG00000237436	RP11-312B8.1	chr1	6840001	6880000	antisense
ENSG00000171735	CAMTA1	chr1	6840001	6880000	protein_coding
ENSG00000227950	RP11-312B8.2	chr1	6880001	6920000	processed_pseudogene
ENSG00000237365	RP11-334N17.1	chr1	7040001	7080000	antisense
ENSG00000265983	U1	chr1	7240001	7280000	snRNA
ENSG00000237402	CAMTA1-IT1	chr1	7400001	7440000	sense_intronic
ENSG00000237728	RP3-453P22.2	chr1	7440001	7480000	antisense
ENSG00000225126	RP4-549F15.1	chr1	7480001	7520000	antisense
ENSG00000049245	VAMP3	chr1	7800001	7840000	protein_coding
ENSG00000049246	PER3	chr1	7840001	7880000	protein_coding
ENSG00000236266	RP3-467L1.4	chr1	7880001	7920000	antisense
ENSG00000049247	UTS2	chr1	7880001	7920000	protein_coding
ENSG00000049249	TNFRSF9	chr1	8000001	8040000	protein_coding
ENSG00000116288	PARK7	chr1	8000001	8040000	protein_coding
ENSG00000262537	Y_RNA	chr1	8040001	8080000	misc_RNA
ENSG00000116285	ERRFI1	chr1	8080001	8120000	protein_coding
ENSG00000238290	RP11-431K24.1	chr1	8080001	8120000	lincRNA
ENSG00000232848	CTA-215D11.4	chr1	8080001	8120000	processed_pseudogene
ENSG00000229305	RP11-431K24.2	chr1	8240001	8280000	processed_pseudogene
ENSG00000265983	U1	chr1	8240001	8280000	snRNA
ENSG00000227634	RP11-431K24.3	chr1	8240001	8280000	lincRNA
ENSG00000233645	RP11-431K24.4	chr1	8280001	8320000	lincRNA
ENSG00000265326	Metazoa_SRP	chr1	8320001	8360000	misc_RNA
ENSG00000263128	U6	chr1	8320001	8360000	snRNA
ENSG00000162426	SLC45A1	chr1	8360001	8400000	retained_intron
ENSG00000262537	Y_RNA	chr1	8360001	8400000	misc_RNA
ENSG00000142599	RERE	chr1	8840001	8880000	protein_coding
ENSG00000232912	RP5-1115A15.1	chr1	8480001	8520000	antisense
ENSG00000221083	SNORA77	chr1	8560001	8600000	snoRNA
ENSG00000262537	Y_RNA	chr1	8840001	8880000	misc_RNA
ENSG00000226545	RP4-633I8.3	chr1	8840001	8880000	unprocessed_pseudogene
ENSG00000228423	RP4-633I8.4	chr1	8840001	8880000	lincRNA
ENSG00000229716	RP11-185B14.1	chr1	8880001	8920000	processed_pseudogene
ENSG00000074800	ENO1	chr1	8920001	8960000	protein_coding
ENSG00000236269	ENO1-IT1	chr1	8920001	8960000	sense_intronic
ENSG00000230679	ENO1-AS1	chr1	8920001	8960000	antisense
ENSG00000263128	U6	chr1	8920001	8960000	snRNA
ENSG00000238249	HMGN2P17	chr1	8920001	8960000	processed_pseudogene
ENSG00000232208	RP3-477M7.5	chr1	8960001	9000000	processed_pseudogene
ENSG00000232663	RP3-477M7.6	chr1	8960001	9000000	processed_pseudogene
ENSG00000131686	CA6	chr1	9000001	9040000	protein_coding
ENSG00000265326	Metazoa_SRP	chr1	9000001	9040000	misc_RNA
ENSG00000197241	SLC2A7	chr1	9080001	9120000	protein_coding
ENSG00000142583	SLC2A5	chr1	9120001	9160000	protein_coding
ENSG00000252404	SCARNA16	chr1	9120001	9160000	snoRNA
ENSG00000180758	GPR157	chr1	9160001	9200000	protein_coding
ENSG00000207865	MIR34A	chr1	9200001	9240000	miRNA
ENSG00000228526	RP3-510D11.1	chr1	9240001	9280000	lincRNA
ENSG00000234546	RP3-510D11.2	chr1	9240001	9280000	lincRNA
ENSG00000049239	H6PD	chr1	9280001	9320000	protein_coding
ENSG00000252841	Z98044.1	chr1	9320001	9360000	miRNA
ENSG00000171621	SPSB1	chr1	9320001	9360000	protein_coding
ENSG00000235263	RP13-392I16.1	chr1	9560001	9600000	lincRNA
ENSG00000171612	SLC25A33	chr1	9560001	9600000	protein_coding
ENSG00000231181	RP13-15M17.1	chr1	9600001	9640000	processed_pseudogene
ENSG00000188807	TMEM201	chr1	9640001	9680000	protein_coding
ENSG00000171608	PIK3CD	chr1	9680001	9720000	protein_coding
ENSG00000179840	C1orf200	chr1	9680001	9720000	protein_coding
ENSG00000233268	RP11-558F24.2	chr1	9720001	9760000	processed_pseudogene
ENSG00000231789	RP11-558F24.4	chr1	9720001	9760000	antisense
ENSG00000171603	CLSTN1	chr1	9880001	9920000	protein_coding
ENSG00000178585	CTNNBIP1	chr1	9960001	10000000	protein_coding
ENSG00000223989	RP11-84A14.5	chr1	9880001	9920000	antisense
ENSG00000162441	LZIC	chr1	10000001	10040000	protein_coding
ENSG00000228150	RP11-84A14.4	chr1	10000001	10040000	sense_intronic
ENSG00000173614	NMNAT1	chr1	10000001	10040000	protein_coding
ENSG00000271814	7SK	chr1	10000001	10040000	misc_RNA
ENSG00000265521	MIR5697	chr1	10000001	10040000	miRNA
ENSG00000241326	RP11-807G9.2	chr1	10040001	10080000	sense_intronic
ENSG00000162444	RBP7	chr1	10040001	10080000	protein_coding
ENSG00000225786	AL590639.1	chr1	10040001	10080000	pseudogene
ENSG00000130939	UBE4B	chr1	10080001	10120000	protein_coding
ENSG00000224340	RP11-496H15.2	chr1	10080001	10120000	processed_pseudogene
ENSG00000233623	PGAM1P11	chr1	10080001	10120000	processed_pseudogene
ENSG00000263128	U6	chr1	10200001	10240000	snRNA
ENSG00000054523	KIF1B	chr1	10240001	10280000	protein_coding
ENSG00000264881	MIR1273D	chr1	10280001	10320000	miRNA
ENSG00000263128	U6	chr1	10320001	10360000	snRNA
ENSG00000265326	Metazoa_SRP	chr1	10360001	10400000	misc_RNA
ENSG00000265326	Metazoa_SRP	chr1	10440001	10480000	misc_RNA
ENSG00000142657	PGD	chr1	10440001	10480000	protein_coding
ENSG00000175279	APITD1	chr1	10480001	10520000	protein_coding
ENSG00000251503	APITD1-CORT	chr1	10480001	10520000	protein_coding
ENSG00000241563	CORT	chr1	10480001	10520000	protein_coding
ENSG00000160049	DFFA	chr1	10520001	10560000	protein_coding
ENSG00000203469	RP5-1113E3.3	chr1	10480001	10520000	antisense
ENSG00000142655	PEX14	chr1	10520001	10560000	protein_coding
ENSG00000265326	Metazoa_SRP	chr1	10640001	10680000	misc_RNA
ENSG00000130940	CASZ1	chr1	10840001	10880000	protein_coding
ENSG00000175262	C1orf127	chr1	11040001	11080000	protein_coding
ENSG00000215785	CFL1P6	chr1	11040001	11080000	processed_pseudogene
ENSG00000264181	AL713997.1	chr1	11040001	11080000	miRNA
ENSG00000262537	Y_RNA	chr1	11040001	11080000	misc_RNA
ENSG00000120948	TARDBP	chr1	11040001	11080000	protein_coding
ENSG00000009724	MASP2	chr1	11080001	11120000	protein_coding
ENSG00000116649	SRM	chr1	11120001	11160000	protein_coding
ENSG00000171824	EXOSC10	chr1	11120001	11160000	protein_coding
ENSG00000226849	RP4-635E18.7	chr1	11120001	11160000	antisense
ENSG00000230337	RP4-635E18.6	chr1	11120001	11160000	antisense
ENSG00000198793	MTOR	chr1	11320001	11360000	protein_coding
ENSG00000225602	MTOR-AS1	chr1	11200001	11240000	antisense
ENSG00000263128	U6	chr1	11200001	11240000	snRNA
ENSG00000269874	snoU13	chr1	11200001	11240000	snoRNA
ENSG00000171819	ANGPTL7	chr1	11240001	11280000	protein_coding
ENSG00000263128	U6	chr1	11280001	11320000	snRNA
ENSG00000238173	RPL39P6	chr1	11280001	11320000	processed_pseudogene
ENSG00000120942	UBIAD1	chr1	11320001	11360000	protein_coding
ENSG00000224338	RP11-149P14.1	chr1	11480001	11520000	processed_pseudogene
ENSG00000204624	PTCHD2	chr1	11520001	11560000	protein_coding
ENSG00000235643	RP1-69M21.2	chr1	11640001	11680000	lincRNA
ENSG00000116661	FBXO2	chr1	11680001	11720000	protein_coding
ENSG00000132879	FBXO44	chr1	11680001	11720000	protein_coding
ENSG00000116663	FBXO6	chr1	11720001	11760000	protein_coding
ENSG00000116670	MAD2L2	chr1	11720001	11760000	protein_coding
ENSG00000177674	AGTRAP	chr1	11760001	11800000	protein_coding
ENSG00000215910	C1orf167	chr1	11800001	11840000	protein_coding
ENSG00000177553	RP11-56N19.5	chr1	11800001	11840000	antisense
ENSG00000177000	MTHFR	chr1	11840001	11880000	protein_coding
ENSG00000011021	CLCN6	chr1	11840001	11880000	protein_coding
ENSG00000242349	NPPA-AS1	chr1	11880001	11920000	antisense
ENSG00000175206	NPPA	chr1	11880001	11920000	protein_coding
ENSG00000120937	NPPB	chr1	11880001	11920000	protein_coding
ENSG00000224904	RP5-934G17.6	chr1	11920001	11960000	processed_pseudogene
ENSG00000199347	RNU5E-1	chr1	11960001	12000000	snRNA
ENSG00000201801	RNU5E-4P	chr1	11960001	12000000	snRNA
ENSG00000116685	KIAA2013	chr1	11960001	12000000	protein_coding
ENSG00000083444	PLOD1	chr1	11960001	12000000	protein_coding
ENSG00000116688	MFN2	chr1	12040001	12080000	protein_coding
ENSG00000116691	MIIP	chr1	12040001	12080000	protein_coding
ENSG00000262537	Y_RNA	chr1	12080001	12120000	misc_RNA
ENSG00000265326	Metazoa_SRP	chr1	12080001	12120000	misc_RNA
ENSG00000120949	TNFRSF8	chr1	12120001	12160000	protein_coding
ENSG00000263128	U6	chr1	12120001	12160000	snRNA
ENSG00000227875	RP11-426M1.2	chr1	12120001	12160000	processed_pseudogene
ENSG00000028137	TNFRSF1B	chr1	12200001	12240000	protein_coding
ENSG00000263676	MIR4632	chr1	12240001	12280000	miRNA
ENSG00000225196	RP5-1118D24.2	chr1	12280001	12320000	processed_pseudogene
ENSG00000268237	SNORA70	chr1	12280001	12320000	snoRNA
ENSG00000048707	VPS13D	chr1	12280001	12320000	protein_coding
ENSG00000239149	SNORA59A	chr1	12560001	12600000	snoRNA
ENSG00000229484	RP5-888M10.2	chr1	12560001	12600000	lincRNA
ENSG00000162496	DHRS3	chr1	12640001	12680000	protein_coding
ENSG00000238953	U6atac	chr1	12600001	12640000	snRNA
ENSG00000204518	AADACL4	chr1	12680001	12720000	protein_coding
ENSG00000226166	RP11-474O21.2	chr1	12720001	12760000	processed_pseudogene
ENSG00000188984	AADACL3	chr1	12760001	12800000	protein_coding
ENSG00000269874	snoU13	chr1	12760001	12800000	snoRNA
ENSG00000157330	C1orf158	chr1	12800001	12840000	protein_coding
ENSG00000116726	PRAMEF12	chr1	12800001	12840000	protein_coding
ENSG00000116721	PRAMEF1	chr1	12840001	12880000	protein_coding
ENSG00000228338	RP5-845O24.8	chr1	12880001	12920000	lincRNA
ENSG00000204513	PRAMEF11	chr1	12880001	12920000	protein_coding
ENSG00000231103	RP5-845O24.3	chr1	12880001	12920000	unprocessed_pseudogene
ENSG00000179172	HNRNPCL1	chr1	12880001	12920000	protein_coding
ENSG00000120952	PRAMEF2	chr1	12880001	12920000	protein_coding
ENSG00000243073	PRAMEF4	chr1	12920001	12960000	protein_coding
ENSG00000187545	PRAMEF10	chr1	12920001	12960000	protein_coding
ENSG00000204510	PRAMEF7	chr1	12960001	13000000	protein_coding
ENSG00000263128	U6	chr1	12960001	13000000	snRNA
ENSG00000234064	RP11-450I1.2	chr1	12960001	13000000	unprocessed_pseudogene
ENSG00000232423	PRAMEF6	chr1	13080001	13120000	protein_coding
ENSG00000250894	RP11-450I1.4	chr1	13000001	13040000	unprocessed_pseudogene
ENSG00000204508	PRAMEF22	chr1	13000001	13040000	protein_coding
ENSG00000239810	WI2-3308P17.2	chr1	13040001	13080000	protein_coding
ENSG00000250113	RP13-221M14.6	chr1	13120001	13160000	unprocessed_pseudogene
ENSG00000233336	RP13-221M14.2	chr1	13120001	13160000	lincRNA
ENSG00000229978	RP13-221M14.3	chr1	13160001	13200000	processed_transcript
ENSG00000236179	RP13-221M14.4	chr1	13160001	13200000	unprocessed_pseudogene
ENSG00000224199	WI2-2994D6.1	chr1	13160001	13200000	unprocessed_pseudogene
ENSG00000204503	PRAMEF3	chr1	13320001	13360000	protein_coding
ENSG00000233394	RP11-248D7.2	chr1	13320001	13360000	unprocessed_pseudogene
ENSG00000204502	PRAMEF5	chr1	13320001	13360000	protein_coding
ENSG00000231219	RP11-219C24.8	chr1	13360001	13400000	unprocessed_pseudogene
ENSG00000263128	U6	chr1	13360001	13400000	snRNA
ENSG00000182330	PRAMEF8	chr1	13360001	13400000	protein_coding
ENSG00000237700	RP11-219C24.6	chr1	13400001	13440000	unitary_pseudogene
ENSG00000204501	PRAMEF9	chr1	13400001	13440000	protein_coding
ENSG00000228229	RP11-219C24.10	chr1	13400001	13440000	lincRNA
ENSG00000204495	PRAMEF13	chr1	13440001	13480000	protein_coding
ENSG00000204491	PRAMEF18	chr1	13440001	13480000	protein_coding
ENSG00000204488	PRAMEF16	chr1	13480001	13520000	protein_coding
ENSG00000204486	PRAMEF21	chr1	13480001	13520000	protein_coding
ENSG00000204485	XX-FW84067D5.1	chr1	13600001	13640000	unprocessed_pseudogene
ENSG00000224581	XX-FW84067D5.2	chr1	13600001	13640000	unprocessed_pseudogene
ENSG00000157358	PRAMEF15	chr1	13640001	13680000	protein_coding
ENSG00000204481	PRAMEF14	chr1	13640001	13680000	processed_transcript
ENSG00000204480	PRAMEF19	chr1	13680001	13720000	protein_coding
